Field,Data
Company Legal Name,"FirstStaff Workforce Solutions, LLC"
Principal Business Address,"3105 Maple Avenue, Suite 1200, Dallas, TX 75201"
Phone Number,(214) 832-4455
Fax Number,(214) 832-4460
Email Address,proposals@firststaffsolutions.com
Authorized Representative,"Meredith Chan, Director of Contracts"
Authorized Representative Phone,(212) 555-0199
Signature,Meredith Chan (signed manually)
Company Length of Existence,9 years
Years of Experience in Temp Staffing,7 years
DUNS Number,07-842-1490
CAGE Code,8J4T7
SAM.gov Registration Date,03/01/2022
NAICS Codes,561320 – Temporary Help Services; 541611 – Admin Management
State of Incorporation,Delaware
Bank Letter of Creditworthiness,Not Available
State Registration Number,SRN-DE-0923847
Services Provided,"Administrative, IT, Legal & Credentialing Staffing"
Business Structure,Limited Liability Company (LLC)
W-9 Form,Attached (TIN: 47-6392011)
Certificate of Insurance,"Travelers Insurance, Policy #TX-884529-A; includes Workers' Comp, Liability, and Auto"
Licenses,Texas Employment Agency License #TXEA-34892
Historically Underutilized Business / DBE Status,Not certified
MBE Certification,Not certified
Key Personnel – Project Manager,Ramesh Iyer
Key Personnel – Technical Lead,Sarah Collins
Key Personnel – Security Auditor,James Wu
